label_text,field_type
Address Line 1,address
Street Address,address
Street,address
Address,address
Address Line 2,address
Apt / Suite / Unit,address
Apartment,address
City,address
Town,address
Municipality,address
State,address
Province,address
Region,address
Zip Code,address
Postal Code,address
Postcode,address
Country,address
Nation,address
Mailing Address,address
Home Address,address
Residential Address,address
Permanent Address,address
Work Address,address
Company HQ Address,address

Background check consent,background_check
Consent to background check,background_check
I agree to a background check,background_check
Background Screening,background_check
Pre-employment Background Check,background_check

Date of Birth,birth_date
Birth Date,birth_date
D.O.B.,birth_date
Date of Birth (MM/DD/YYYY),birth_date
Birthday,birth_date
Birthdate,birth_date

Company,company
Employer Name,company
Organization Name,company
Business Name,company
Workplace,company
Company Name Legal,company
Company Legal Name,company
Company Division,company
Company Department,company
Subsidiary,company
Parent Company,company
Hiring Organization,company
Hiring Company,company
Employer Company,company
Employer Organization,company
Corporate Name,company
Corporation Name,company
Business Unit,company
Operating Unit,company
Office Location Company,company
Company Location,company
Company Headquarters,company
Headquarters Company,company
HQ Company,company
Current Company,company
Current Employer,company
Previous Company,company
Previous Employer,company
Most Recent Employer,company
Last Employer,company
Company URL,company
Company Website,company
Employer Website,company
Organization Website,company
Workplace Name,company


Education Level,education
Highest Degree,education
Degree,education
Educational Qualification,education
Select Degree,education
Qualification,education
School,education
University,education
College,education
Institute,education
Graduation Year,education
Year of Graduation,education
Year Graduated,education
Graduated In,education
Year Completed,education
Certifications,education
Relevant Certifications,education
Professional Certificates,education
Diploma,education
Training Program,education
Major,education
Minor,education
GPA,education
CGPA,education
Grade Point Average,education
Concentration,education
Academic Concentration,education
Program,education
Academic Program,education
Degree Awarded,education
Degree Type,education
Credential,education
Credential Type,education
Qualification,education
Academic Qualification,education
Area of Study,education
Field of Study,education
Discipline,education
Department,education
School of Study,education
Academic Level,education
Education Level,education
Undergraduate Institution,education
Graduate Institution,education
Alma Mater,education
University Name,education
College Name,education
Institute Name,education
Expected Graduation,education
Graduation Term,education
Honors,education
Deans List,education
Academic Awards,education
Coursework,education
Relevant Coursework,education
Bootcamp,education
Certification Program,education
Professional Certification,education


Upload Resume,document
Cover Letter / Additional Information,document
Resume Upload,document
Supporting Document,document
Application Document,document

Email,email
E-mail,email
Email Address,email
Work Email,email
Personal Email,email
Confirm Email,email
Business Email,email
School Email,email
Alternate Email,email

End Date,end_date
End date of your latest role,end_date
Employment End,end_date
Date Left,end_date
Contract End,end_date

Demographics,demographics
What is your ethnicity?,demographics
What is your gender?,demographics
Do you have a disability?,demographics
Do you identify as LGBTQ+?,demographics
Are you a veteran?,demographics
Race,demographics
Ethnic Background,demographics
Gender Identity,demographics
Sex,demographics
Military Status,demographics

Job Title,job_title
Previous Job Title,job_title
Your Job Title,job_title
Position Title,job_title
Role,job_title

First Name,name
Last Name,name
Full Name,name
Surname,name
Given Name,name
Middle Name,name
Applicant Name,name

Phone Number,phone
Mobile Number,phone
Cell Number,phone
Telephone,phone
Contact Number,phone
Work Phone,phone
Home Phone,phone
Primary Phone,phone

Referral Source,referral_source
How did you learn about us?,referral_source
Where did you hear about us?,referral_source
How did you hear about this job?,referral_source
Job Board Source,referral_source
Friend or Colleague,referral_source

Role Description,role_description
Description of Responsibilities,role_description
Duties,role_description
Responsibilities,role_description
Main Tasks,role_description

LinkedIn Profile,social
Portfolio / GitHub / Personal Website,social
LinkedIn URL,social
GitHub Link,social
Personal Site,social

Start Date,start_date
When did you start at your latest role?,start_date
Employment Start,start_date
Job Start,start_date
Contract Start,start_date

Terms Agreement,terms_consent
I agree to the Terms & Conditions,terms_consent
Accept Terms & Conditions,terms_consent
Agree to Terms of Service,terms_consent
I agree to the Privacy Policy,terms_consent

Visa Sponsorship,work_auth
Are you authorized to work in the US?,work_auth
Are you authorized to work in Canada?,work_auth
Are you authorized to work in the United Kingdom?,work_auth
Work Authorization,work_auth
Employment Eligibility,work_auth
